,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,PDB,clogP,plogP_4.5,plogP_5.0,plogP_5.5,plogP_6.0,plogP_6.5,plogP_7.0,psasa_4.5,psasa_5.0,psasa_5.5,psasa_6.0,psasa_6.5,psasa_7.0,ppsa_4.5,ppsa_5.0,ppsa_5.5,ppsa_6.0,ppsa_6.5,ppsa_7.0,csasa_bound,csasa_unbound,volume,mw,dist,pass_mw
0,0,0,0,2sim,-3.0665999999999976,-2.155059999999983,-1.5015399999999846,0.7934000000000205,-0.7197999999999888,0.7727100000000005,-7.664790000000061,286.4392215180998,328.19113868075544,370.5322678287772,416.11114749833,468.2548751060125,503.14856984217545,104.8652192371014,113.43689142960316,113.43689142960316,132.72315386273212,155.26805212535305,174.55431455848202,71.3832180093848,496.64729517298383,238.0,291.2559999999997,9.47417453132461,102.07199999999999
1,1,1,1,3agl,-5.876910000000021,9.363400000000029,9.558000000000035,8.872840000000046,2.6164999999999434,-0.9200999999998654,-6.965399999999833,867.4505819168004,927.4754219526136,1013.891537800544,1107.853495308614,1237.6258014573118,1314.9050600279886,287.0413391660869,288.1349275688015,324.56453438693404,353.6488336871907,399.7215717218877,417.93637513095393,275.34583060167347,1323.5251755792096,819.0,890.021000000002,23.10029910845312,416.3190000000002
2,2,2,2,1f3e,-2.30006,1.649419999999999,-2.372599999999983,-4.460999999999981,-3.4298999999999955,-3.5348999999999924,-6.938300000000058,226.9091948915976,282.8685501398828,316.0753352847743,331.2328915198144,346.63885976915907,382.9178209363666,74.79202196771834,86.57807123240826,95.14974342491,95.14974342491,108.00725171366264,126.2220551227289,18.083321473328205,352.73895305648733,163.0,192.17800000000008,8.177728588061603,90.065
3,3,3,3,1xbo,0.6143499999999997,0.9072900000000116,-2.607930000000008,-8.435600000000036,-12.22849999999996,-17.73899999999987,-21.74329999999984,499.40867971726544,562.1280637720628,630.8326844867731,734.5229480714319,780.7557816677556,907.592696738274,134.7275779403167,141.28910835660437,152.0036985972316,221.8476995691753,251.8485522429316,332.2301084262875,133.822045273846,725.5117670666933,370.0,425.39299999999986,16.212932630773498,188.14099999999996
4,4,4,4,4cws,-1.0653499999999985,11.088939999999996,13.112119999999988,9.743200000000025,8.38590000000003,-1.0241000000000726,-0.5658000000000969,469.1168778646751,528.3115708913332,628.7514547519936,643.6809313603829,657.5552223946553,727.438066018168,91.96867980122056,93.04013882528326,139.11287685998025,141.30005366540945,146.67947816437493,146.67947816437493,83.03150215302949,652.6751477647928,317.0,378.3919999999998,13.748329394511899,192.13299999999998
5,5,5,5,1n4h,5.602600000000005,18.3889,16.114119999999975,14.20021999999999,6.904860000000027,7.726070000000031,5.943799999999994,312.88519874150103,323.9285252373999,360.2458892332048,397.10775406773,416.5805517062585,463.74626239151,51.992265142667634,51.992265142667634,74.49290464798476,93.82342583841748,108.82385217529556,110.966770223421,12.250954711938752,623.8942634830198,307.0,300.44199999999944,15.801314988633063,156.14299999999997
6,6,6,6,5m28,-7.572999999999987,6.894920000000018,4.473000000000009,-4.038100000000045,-5.440700000000066,-9.094999999999873,-10.940699999999776,425.1953642490794,476.0697627610055,538.3979556985781,622.9579683412852,723.751683499334,793.3366413074332,67.12668668940661,71.41252278565749,130.3427691091071,181.77280226411773,216.08162041277672,224.71968074123413,133.27952992168284,679.7156902474421,424.0,504.4379999999997,14.275437819205408,184.10599999999997
7,7,7,7,2xbv,0.1674900000000019,-0.3067599999999786,-3.147700000000002,-4.100900000000032,-7.183800000000054,-9.568479999999989,-7.535879999999965,615.530803485227,658.781951494029,707.3486742727046,839.0041892880407,919.4167090085904,1011.7028781633828,160.07903684957793,164.3870023244807,173.0693214102419,227.91289604530763,229.00648444802223,229.00648444802223,127.6107270402099,797.9640313569828,421.0,520.9190000000003,17.198652243998655,186.15299999999996
8,8,8,8,1a94,-1.9690900000000005,7.669000000000029,4.8478,2.0489999999999524,4.233199999999999,-1.990300000000045,-8.399399999999925,1029.7484628257553,1131.5000495838833,1176.4813731979818,1334.554767032026,1466.3014510661692,1544.0671161442165,340.3385213660909,348.95445231589645,348.95445231589645,381.12035241643,420.7643363067507,456.1888722367761,271.48027677061987,1216.7821635812052,817.0,847.0520000000025,25.28313191220582,364.28700000000015
9,9,9,9,5xmx,3.322040000000001,26.632170000000045,23.16120000000001,27.676770000000065,24.78037000000006,21.12724000000004,24.222220000000068,392.5184275547719,422.73577366147225,451.5115559967759,467.0019828230196,500.4555840531476,571.172884950936,42.87927140321111,48.23656652352472,60.02261578821464,62.18766321499197,69.79852327669045,81.58457254138037,3.756088176631956,751.2717712509976,404.0,433.5039999999997,15.572582659597604,238.18099999999995
